row_type,mode,verify_mode,recordsize,iter,jobs,source_label,source_bytes,elapsed_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,write_bw_mib_s,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,compressratio,used,logicalused,comp_requests_delta,comp_in_delta,comp_out_delta,decomp_requests_delta,decomp_in_delta,decomp_out_delta,dc_fails_delta,dc_buffer_reuse_hits_delta,dc_buffer_reuse_misses_delta,dc_compress_bound_requests_delta,dc_compress_bound_fails_delta,dc_compress_bound_ns_delta,dc_compress_bound_total_bytes_delta,dc_compress_dst_total_bytes_delta,dc_compress_scratch_bytes_delta,dc_compress_scratch_saved_bytes_delta,dc_compress_overflows_delta,dc_compress_incompressible_delta,dc_compress_src_buffers_delta,dc_compress_dst_buffers_delta,dc_compress_add_buffers_delta,dc_compress_dst_total_buffers_delta,dc_compress_src_buffers_max,dc_compress_dst_buffers_max,dc_compress_add_buffers_max,dc_compress_dst_total_buffers_max,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,dc_compress_dst_coalesce_requests_delta,dc_compress_dst_coalesce_success_delta,dc_compress_dst_coalesce_fails_delta,dc_compress_dst_coalesce_reuse_hits_delta,dc_compress_dst_coalesce_reuse_misses_delta,dc_compress_dst_coalesce_alloc_bytes_delta,dc_compress_dst_coalesce_copy_bytes_delta,dc_compress_dst_coalesce_alloc_ns_delta,dc_compress_dst_coalesce_copy_ns_delta,dc_compress_dst_coalesce_free_ns_delta,dc_compress_scratch_alloc_ns_delta,dc_compress_scratch_free_ns_delta,dc_compress_setup_ns_delta,dc_compress_submit_ns_delta,dc_compress_wait_ns_delta,dc_compress_cleanup_ns_delta,dc_decompress_setup_ns_delta,dc_decompress_submit_ns_delta,dc_decompress_wait_ns_delta,dc_decompress_cleanup_ns_delta,dc_compress_inflight,dc_compress_inflight_max,dc_decompress_inflight,dc_decompress_inflight_max,dc_compress_async_submits_delta,dc_compress_async_submit_fails_delta,dc_compress_async_completions_delta,dc_compress_async_resumes_delta,dc_compress_async_fallbacks_delta,dc_compress_async_cancels_delta,dc_compress_async_submit_retries_delta,dc_compress_async_retry_success_delta,dc_compress_async_fail_retry_delta,dc_compress_async_fail_resource_delta,dc_compress_async_fail_other_delta,dc_compress_async_inflight,dc_compress_async_inflight_max,dc_compress_async_cap_skips_delta,sha_ok,zfs_qat_cpa_dc_level,zfs_qat_cpa_dc_hufftype,zfs_qat_dc_max_buf_size,zfs_qat_dc_max_instances,zfs_qat_dc_coalesce_src,zfs_qat_dc_coalesce_dst,zfs_qat_dc_async,zfs_qat_dc_async_submit_retries,zfs_qat_dc_async_retry_us,zfs_qat_dc_async_max_inflight,zfs_qat_dc_async_cap_policy,zfs_qat_decompress_disable,qat_kernel_cy_instances,qat_kernel_dc_instances,zfs_srcversion,qat_pci_dh895xcc_count,qat_conf_file_count,qat_kernel_cy_instances_total,qat_kernel_dc_instances_total,zfs_qat_dc_instances,cpu_count,cpu_active_pct,cpu_active_s_per_gib,cpu_system_s_per_gib,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib
raw,qat,sw,128K,1,4,Image.tif_,765384432,1202.602,,,,,,606.96,0.06,8.60,3.95,87.38,17.15x,51.5M,730M,5602,734265344,26588324,0,0,0,0,2513,3089,5602,0,978782,826356622,642482176,183885650,458596526,0,0,179264,156856,50418,207274,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48192130,0,106857154,36561112,173217895268,16800731,0,0,0,0,0,1536,0,0,5840,0,5602,5602,238,0,0,0,0,0,0,0,1536,238,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,8.66,9.350612,9.285827,95.93,95.92,4.08,4.08,247594594,247365791
raw,qat,sw,128K,2,4,Image.tif_,765384432,1116.349,,,,,,653.85,0.06,9.78,2.35,87.81,17.14x,51.5M,730M,5250,688128000,25240281,0,0,0,0,2157,3093,5250,0,961771,774432750,602112000,172331250,429780750,0,0,168000,147000,47250,194250,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13568777,0,73401162,35425914,177044626267,20176797,0,0,0,0,0,1536,0,0,5840,0,5250,5250,590,0,0,0,0,0,0,0,1536,590,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,9.84,9.862688,9.802550,89.91,89.90,10.10,10.10,269978865,269782288
raw,qat,sw,128K,3,4,Image.tif_,765384432,1162.819,,,,,,627.72,0.04,8.92,2.71,88.33,17.13x,51.5M,730M,5252,688390144,25172158,0,0,0,0,2416,2836,5252,0,927820,774727772,602341376,172396900,429944476,0,0,168064,147056,47268,194324,32,28,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8704516,0,67017708,34862310,160735323229,18705162,0,0,0,0,0,1536,0,0,5840,0,5252,5252,588,0,0,0,0,0,0,0,1536,588,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,8.96,9.354495,9.312734,89.94,89.93,10.07,10.07,245020424,244836745
summary,qat,sw,128K,,4,Image.tif_,765384432,,1160.590,1162.819,1202.602,1202.602,1202.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,qat,sw,256K,1,4,Image.tif_,765384432,1042.793,,,,,,699.97,0.06,7.73,2.52,89.69,21.89x,37.5M,730M,2397,628359168,23005961,0,0,0,0,2185,212,2397,0,494230,707035899,549814272,157226421,392587851,0,0,153408,134232,40749,174981,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30482301,0,65473299,25294697,48872913514,8176323,0,0,0,0,0,1536,0,0,2920,0,2397,2397,523,0,0,0,0,0,0,0,1536,523,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,7.79,7.293497,7.237321,82.10,82.09,17.91,17.91,81721915,81556802
raw,qat,sw,256K,2,4,Image.tif_,765384432,1054.614,,,,,,692.13,0.07,10.58,1.67,87.67,21.82x,37.6M,730M,1672,438304768,16875406,0,0,0,0,1516,156,1672,0,529280,493184824,383516672,109671496,273845176,0,0,107008,93632,28424,122056,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23482043,0,59159244,20877409,49365038704,13623219,0,0,0,0,0,1536,0,0,2920,0,1672,1672,1248,0,0,0,0,0,0,0,1536,1248,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,10.65,10.084244,10.017963,57.27,57.26,42.74,42.74,118322245,118098179
raw,qat,sw,256K,3,4,Image.tif_,765384432,1063.163,,,,,,686.56,0.09,10.39,1.73,87.79,21.85x,37.6M,730M,1690,443023360,16872940,0,0,0,0,1548,142,1690,0,530920,498494230,387645440,110852170,276793270,0,0,108160,94640,28730,123370,64,56,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12894565,0,48458031,20885138,49630369138,11223534,0,0,0,0,0,1536,0,0,2920,0,1690,1690,1230,0,0,0,0,0,0,0,1536,1230,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,10.48,10.003716,9.917806,57.88,57.88,42.12,42.12,117659020,117468329
summary,qat,sw,256K,,4,Image.tif_,765384432,,1053.523,1054.614,1063.163,1063.163,1063.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,qat,sw,1M,1,4,Image.tif_,765384432,939.649,,,,,,776.81,0.07,6.73,2.40,90.80,25.51x,30.5M,732M,617,646971392,24410439,0,0,0,0,617,0,617,0,201090,727876751,566099968,161778017,404321951,0,0,157952,138208,40105,178313,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352120799,0,380649208,22595418,24515719351,2767921,0,0,0,0,0,1536,0,0,732,0,617,617,115,0,0,0,0,0,0,0,1536,115,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,6.80,5.736867,5.677811,84.53,84.29,15.71,15.71,40391786,39733743
raw,qat,sw,1M,2,4,Image.tif_,765384432,974.394,,,,,,749.11,0.06,7.69,2.27,89.97,25.50x,30.5M,732M,537,563085312,20736900,0,0,0,0,537,0,537,0,216350,633500511,492699648,140801937,351897711,0,0,137472,120288,34905,155193,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16899116,0,42510039,20243447,24714380719,3172392,0,0,0,0,0,1536,0,0,732,0,537,537,195,0,0,0,0,0,0,0,1536,195,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,7.75,6.780107,6.727615,73.57,73.36,26.64,26.64,46145822,46023055
raw,qat,sw,1M,3,4,Image.tif_,765384432,962.177,,,,,,758.62,0.13,8.80,2.02,89.05,25.45x,30.5M,732M,496,520093696,18898732,0,0,0,0,496,0,496,0,265620,585132688,455081984,130051696,325030288,0,0,126976,111104,32240,143344,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685000,0,26035186,19136656,23528206440,2863543,0,0,0,0,0,1536,0,0,732,0,496,496,236,0,0,0,0,0,0,0,1536,236,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,8.93,7.714480,7.602175,67.95,67.76,32.24,32.24,47532746,47435900
summary,qat,sw,1M,,4,Image.tif_,765384432,,958.740,962.177,974.394,974.394,974.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,128K,1,4,Image.tif_,765384432,1165.226,,,,,,626.43,0.05,13.75,1.74,84.46,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,13.80,14.437416,14.385107,0.00,na,na,na,na,na
raw,sw,sw,128K,2,4,Image.tif_,765384432,1031.553,,,,,,707.60,0.06,15.06,1.48,83.40,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,15.12,14.003724,13.948154,0.00,na,na,na,na,na
raw,sw,sw,128K,3,4,Image.tif_,765384432,1109.716,,,,,,657.76,0.07,15.12,2.05,82.75,16.90x,52.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,15.19,15.134561,15.064817,0.00,na,na,na,na,na
summary,sw,sw,128K,,4,Image.tif_,765384432,,1102.165,1109.716,1165.226,1165.226,1165.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,256K,1,4,Image.tif_,765384432,1064.067,,,,,,685.98,0.06,15.40,1.27,83.26,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,15.46,14.769938,14.712617,0.00,na,na,na,na,na
raw,sw,sw,256K,2,4,Image.tif_,765384432,1014.941,,,,,,719.18,0.06,14.77,1.93,83.24,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.83,13.513946,13.459270,0.00,na,na,na,na,na
raw,sw,sw,256K,3,4,Image.tif_,765384432,1036.352,,,,,,704.32,0.08,14.12,1.38,84.42,21.60x,38.0M,730M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.20,13.212830,13.138392,0.00,na,na,na,na,na
summary,sw,sw,256K,,4,Image.tif_,765384432,,1038.453,1036.352,1064.067,1064.067,1064.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
raw,sw,sw,1M,1,4,Image.tif_,765384432,981.868,,,,,,743.41,0.08,14.19,1.36,84.37,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.27,12.579903,12.509378,0.00,na,na,na,na,na
raw,sw,sw,1M,2,4,Image.tif_,765384432,975.302,,,,,,748.41,0.06,13.91,0.83,85.20,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,13.97,12.233078,12.180538,0.00,na,na,na,na,na
raw,sw,sw,1M,3,4,Image.tif_,765384432,951.181,,,,,,767.39,0.08,13.97,0.85,85.10,25.26x,30.8M,732M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,224,65,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,yes,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,1,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,64,14.05,11.998852,11.930532,0.00,na,na,na,na,na
summary,sw,sw,1M,,4,Image.tif_,765384432,,969.450,975.302,981.868,981.868,981.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,dynamic,1048576,48,0,0,1,8,100,96,recordsize,,0,6,22B59FB4589DC74C5EAE946,2,2,0,12,12,,,,,,,,,,
